Description	
Number of Runs	780
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	1020
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
461	1020	5	1	05/11/23 03:19:16 PM	
462	1020	6	1	05/11/23 03:19:17 PM	
463	1020	6	1	05/11/23 03:19:18 PM	
464	1020	6	1	05/11/23 03:19:19 PM	
465	1020	6	1	05/11/23 03:19:20 PM	
466	1020	7	1	05/11/23 03:19:22 PM	
467	1020	8	1	05/11/23 03:19:23 PM	
468	1020	6	1	05/11/23 03:19:24 PM	
469	1020	4	1	05/11/23 03:19:25 PM	
470	1020	4	1	05/11/23 03:19:26 PM	
471	1020	10	1	05/11/23 03:19:28 PM	
472	1020	8	1	05/11/23 03:19:29 PM	
473	1020	8	1	05/11/23 03:19:30 PM	
474	1020	4	1	05/11/23 03:19:31 PM	
475	1020	8	1	05/11/23 03:19:32 PM	
476	1020	2	1	05/11/23 03:19:33 PM	
477	1020	5	1	05/11/23 03:19:34 PM	
478	1020	6	1	05/11/23 03:19:36 PM	
479	1020	5	1	05/11/23 03:19:37 PM	
480	1020	9	1	05/11/23 03:19:38 PM	
481	1020	9	1	05/11/23 03:19:39 PM	
482	1020	7	1	05/11/23 03:19:40 PM	
483	1020	11	1	05/11/23 03:19:41 PM	
484	1020	3	1	05/11/23 03:19:43 PM	
485	1020	5	1	05/11/23 03:19:44 PM	
486	1020	6	1	05/11/23 03:19:45 PM	
487	1020	6	1	05/11/23 03:19:46 PM	
488	1020	4	1	05/11/23 03:19:47 PM	
489	1020	7	1	05/11/23 03:19:48 PM	
490	1020	4	1	05/11/23 03:19:50 PM	
491	1020	6	1	05/11/23 03:19:51 PM	
492	1020	6	1	05/11/23 03:19:52 PM	
493	1020	5	1	05/11/23 03:19:53 PM	
494	1020	3	1	05/11/23 03:19:54 PM	
495	1020	2	1	05/11/23 03:19:55 PM	
496	1020	4	1	05/11/23 03:19:56 PM	
497	1020	3	1	05/11/23 03:19:58 PM	
498	1020	4	1	05/11/23 03:19:59 PM	
499	1020	7	1	05/11/23 03:20:00 PM	
500	1020	8	1	05/11/23 03:20:01 PM	
501	1020	6	1	05/11/23 03:20:02 PM	
502	1020	5	1	05/11/23 03:20:03 PM	
503	1020	4	1	05/11/23 03:20:04 PM	
504	1020	2	1	05/11/23 03:20:06 PM	
505	1020	1	1	05/11/23 03:20:07 PM	
506	1020	6	1	05/11/23 03:20:08 PM	
507	1020	3	1	05/11/23 03:20:09 PM	
508	1020	10	1	05/11/23 03:20:10 PM	
509	1020	7	1	05/11/23 03:20:11 PM	
510	1020	4	1	05/11/23 03:20:12 PM	
511	1020	5	1	05/11/23 03:20:14 PM	
512	1020	6	1	05/11/23 03:20:15 PM	
513	1020	4	1	05/11/23 03:20:16 PM	
514	1020	5	1	05/11/23 03:20:17 PM	
515	1020	3	1	05/11/23 03:20:18 PM	
516	1020	3	1	05/11/23 03:20:19 PM	
517	1020	3	1	05/11/23 03:20:21 PM	
518	1020	5	1	05/11/23 03:20:22 PM	
519	1020	4	1	05/11/23 03:20:23 PM	
520	1020	10	1	05/11/23 03:20:24 PM	
521	1020	3	1	05/11/23 03:20:25 PM	
522	1020	2	1	05/11/23 03:20:26 PM	
